# expense_category_classification
# owner: credit_risk_policy   effective_from: 2026-01-01   approval: CRP-2026-Q1-002
#
# 14 cells. The cell selects a COMBINING BEHAVIOUR for joint applications, not a
# value: SHARED takes the higher of the two declarations, PERSONAL takes the sum.
# Spec change scenario 9 is a court finding that one of these was wrong, requiring
# two years of re-derivation under the corrected rule while the originals stay
# reproducible as they were. That is only possible because this is a dated
# artefact and not a literal in a function body.
expense_category_code,category_name,behaviour
1,Accommodation,SHARED
2,Water and electricity,SHARED
3,Food,SHARED
4,Insurance premiums,SHARED
5,Transport,PERSONAL
6,Medical,PERSONAL
7,Communication,PERSONAL
8,Education,PERSONAL
9,Maintenance paid,PERSONAL
10,Domestic help,SHARED
11,Childcare,SHARED
12,Credit life and funeral cover,PERSONAL
13,Savings commitments,PERSONAL
14,Other,PERSONAL
