# treatment_matrix v214 — effective 2026-09-01 — owner: Collections Strategy
# Approved: CCF-2026-08-28  Reviewer: H. Mabuza  Diff vs v213: 47 cells, see release note.
#
# 5 376 cells are authored in the 71 rows below. `*` = any. `a-b` = inclusive range.
# `a|b` = enumeration. Resolution is most-specific-wins under the priority order
# declared in matrix/grid.py; two rows of equal specificity that overlap are a
# BUILD ERROR naming both, so no row's position in this file is load-bearing.
# Sort it, merge it, diff it freely.
#
# coverage: traffic = expected to be exercised monthly
#           sparse  = fewer than 50 accounts expected in a month
#           none    = expected to be empty; the exercise report flags it if it is not
#
# treatment: 0 none 1 sms 2 email 3 in-app 4 ivm 5 agent-low 6 agent-std
#            7 negotiator 8 field 9 agency 10 pre-legal notice 11 legal
#            12 settlement offer 13 write-off recommendation
#
bucket,coll_band,bal_band,contact_band,family,treatment_code,intensity,permitted_retries,cooling_off_days,coverage,note
*,*,*,*,*,1,1,2,4,traffic,base default — every unlisted cell lands here
#
# --- bucket 1: 1-14 days. Cheap channels only; nobody is called on day 3. ------
1,*,*,*,*,3,1,3,2,traffic,in-app first where the client is app-active
1,*,*,3|4,*,1,1,2,4,traffic,silent/unreachable — sms rather than in-app
1,1|2,1-2,*,*,0,1,0,0,traffic,low balance + likely to cure — do nothing for 14 days
1,5|6,*,*,*,1,2,3,3,traffic,likely to roll — start earlier
1,*,*,*,4,2,1,2,3,traffic,business family prefers email
#
# --- bucket 2: 15-29 days ------------------------------------------------------
2,*,*,*,*,1,2,3,3,traffic,
2,1|2,*,1,*,3,1,3,3,traffic,responsive and likely to cure — in-app is enough
2,4-6,*,1|2,*,5,2,2,2,traffic,agent call low intensity
2,4-6,*,3|4,*,4,2,2,4,traffic,silent — voice message before spending an agent
2,*,6-7,*,*,5,2,2,2,traffic,high balance gets an agent from bucket 2
2,*,*,*,4,5,2,2,2,traffic,business is always agented
#
# --- bucket 3: 30-59 days. The bucket the intensity overlay targets. ----------
3,*,*,*,*,5,2,3,2,traffic,
3,1,1-2,1,*,1,2,3,3,traffic,
3,3-4,*,1|2,*,6,3,3,1,traffic,
3,5|6,*,*,*,6,3,3,1,traffic,
3,5|6,6-7,*,*,7,4,2,1,traffic,negotiator on high balance + high roll risk
3,*,*,4,*,4,2,2,4,traffic,unreachable — do not burn agent hours
3,*,1,*,*,1,2,2,4,traffic,sub-R2500 never justifies an agent
3,*,*,*,3,6,3,3,1,traffic,secured asset escalates faster
3,*,*,*,4,6,3,2,1,traffic,
#
# --- bucket 4: 60-89 days ------------------------------------------------------
4,*,*,*,*,6,3,3,1,traffic,
4,1|2,*,1,*,5,2,3,2,traffic,
4,*,*,4,*,1,3,2,3,traffic,
4,*,1,*,*,1,3,2,3,traffic,
4,*,5-7,*,*,7,4,2,1,traffic,
4,5|6,*,*,*,7,4,2,1,traffic,
4,*,*,*,3,8,4,1,21,sparse,first field visit on secured asset
4,*,*,*,4,7,4,2,1,traffic,
#
# --- bucket 5: 90-119 days. Pre-legal notice enters the path. ------------------
5,*,*,*,*,7,4,2,1,traffic,
5,*,1-2,*,*,9,3,1,14,traffic,low balance goes to agency rather than a negotiator
5,*,*,4,*,9,3,1,14,traffic,
5,*,5-7,*,*,10,4,1,0,traffic,pre-legal notice on high balance
5,1|2,*,1,*,6,3,3,2,traffic,still curing — do not over-escalate
5,*,*,*,3,10,4,1,0,traffic,
5,*,*,*,4,10,4,1,0,traffic,
#
# --- bucket 6: 120-179 days ----------------------------------------------------
6,*,*,*,*,9,4,1,14,traffic,
6,*,5-7,*,*,10,5,1,0,traffic,
6,*,6-7,1|2,*,7,5,2,1,traffic,worth negotiating before placing
6,*,1,*,*,12,3,1,7,traffic,settlement offer on small balances
6,*,*,*,3,8,5,1,14,sparse,
6,*,*,*,4,10,5,1,0,traffic,
#
# --- bucket 7: 180-364 days. Legal and settlement dominate. --------------------
7,*,*,*,*,12,4,1,7,traffic,
7,*,5-7,*,*,11,5,0,0,traffic,
7,*,1-2,*,*,9,4,1,21,traffic,
7,1-3,*,1|2,*,7,5,2,1,traffic,still worth a negotiator
7,*,*,4,*,13,1,0,0,traffic,unreachable and 6 months out — recommend write-off
7,*,*,*,3,11,5,0,0,traffic,
7,*,*,*,4,11,5,0,0,sparse,
#
# --- bucket 8: 365+ ------------------------------------------------------------
8,*,*,*,*,12,4,1,14,traffic,
8,*,1-2,*,*,13,1,0,0,traffic,
8,*,6-7,*,*,11,5,0,0,sparse,
8,*,*,4,*,13,1,0,0,traffic,
8,1,*,*,*,12,3,1,14,sparse,band 1 in bucket 8 is rare but real
8,1,7,*,*,12,3,1,14,none,empty most months — flagged if it takes traffic
8,1,7,*,4,0,1,0,0,none,the canonical empty cell (spec §5.4)
8,1,6-7,*,4,0,1,0,0,none,
8,*,*,*,3,11,5,0,0,sparse,
8,*,*,*,4,12,4,1,14,sparse,
#
# --- cross-cutting: unreachable never gets an agent, at any bucket -------------
*,*,*,4,*,1,1,1,7,traffic,contact band 4 floor — overridden by more specific bucket rows
#
# --- cross-cutting: chronic re-agers are handled by path/, not here -----------
# (the matrix has no re-ager dimension; re-entry class enters through path_position)
