# Node metadata for (campaign 23, tree_version 11).  Spec 5.4.1(b): node key,
# level, parent lineage, the condition in readable form, the features it
# references, the direction taken for each outcome, and - for leaves - every
# value the leaf carries.  Published at validation, retained indefinitely, joined
# by the warehouse and read by the offline renderer.
#
# `level` and `parent_lineage` are properties of THIS VERSION, not of the node.
# A node's level may move between versions while its identity does not; that is
# correct, and the identity map says so.
node_key,kind,level,parent_lineage,author_label,readable_condition,features,on_true,on_false,leaf_outcome,tier,amount_rule,amount_cap_r,channels,priority,reason_label
n_9f2c41a7b0e35d18,internal,1,,"L1 facility gate","has_active_flex_loan AND months_on_book_flex >= 6 AND flex_term_remaining_months >= 4","feat:has_active_flex_loan;feat:months_on_book_flex;feat:flex_term_remaining_months",n_4b71e0cd5a92f36c,l_b82e47c105d3f69a,,,,,,,
n_4b71e0cd5a92f36c,internal,2,n_9f2c41a7b0e35d18,"L2 settlement / arrears gate","settlement_ratio <= 0.65 AND payments_missed_12m = 0","feat:settlement_ratio;feat:payments_missed_12m",n_c05a83d7146be2f9,n_2e6f9b14a7c308d5,,,,,,,
n_c05a83d7146be2f9,internal,3,n_9f2c41a7b0e35d18/n_4b71e0cd5a92f36c,"L3 risk gate, prime","behaviour_score >= 620 AND worst_arrears_months_12m = 0 AND bureau_enquiries_3m <= 2 AND external_unsecured_growth_6m <= 0.20","feat:behaviour_score;feat:worst_arrears_months_12m;feat:bureau_enquiries_3m;feat:external_unsecured_growth_6m",n_7d38c2a05f6941be,n_a1f45e9c2b70d863,,,,,,,
n_2e6f9b14a7c308d5,internal,3,n_9f2c41a7b0e35d18/n_4b71e0cd5a92f36c,"L3 risk gate, relaxed","behaviour_score >= 580 AND months_since_last_arrears >= 9 AND worst_arrears_months_12m <= 1","feat:behaviour_score;feat:months_since_last_arrears;feat:worst_arrears_months_12m",n_a1f45e9c2b70d863,l_0d59a3f6c8b71e42,,,,,,,
n_7d38c2a05f6941be,internal,4,...,"L4 affordability gate, prime","discretionary_income >= R3 500 AND estimated_instalment_to_income <= 0.28 AND income_band_code in {5,6,7,8,9}","feat:discretionary_income;feat:estimated_instalment_to_income;feat:income_band_code",n_5c92b70e4a13fd28,n_e83017bd6f2c94a5,,,,,,,
n_a1f45e9c2b70d863,internal,4,"MULTI: n_c05a83d7146be2f9(F) | n_2e6f9b14a7c308d5(T)","L4 affordability gate, standard","discretionary_income >= R2 200 AND estimated_instalment_to_income <= 0.33 AND employment_type_code in {1,2,4}","feat:discretionary_income;feat:estimated_instalment_to_income;feat:employment_type_code",n_e83017bd6f2c94a5,l_f47c81b2e50a9d63,,,,,,,
n_5c92b70e4a13fd28,internal,5,...,"L5 amount floor, prime","pre_assessed_amount >= R40 000 AND pre_assessed_amount >= 1.5 * current_flex_balance","feat:pre_assessed_amount;feat:current_flex_balance",n_31ac58f0d27b6e49,n_6b4d2f9138ea07c5,,,,,,,
n_e83017bd6f2c94a5,internal,5,"MULTI",,"pre_assessed_amount >= R15 000","feat:pre_assessed_amount",n_6b4d2f9138ea07c5,l_28a6d0c74f13b95e,,,,,,,
n_31ac58f0d27b6e49,internal,6,...,"L6 channel split, digital","app_logins_90d >= 3 OR channel_preference_code = 2","feat:app_logins_90d;feat:channel_preference_code",l_93e15b8a2c60f7d4,l_7a0c64e9b13d582f,,,,,,,
n_6b4d2f9138ea07c5,internal,6,"MULTI","L6 channel split, SMS","sms_response_rate_12m >= 0.04 AND prior_offer_declines_6m <= 1","feat:sms_response_rate_12m;feat:prior_offer_declines_6m",l_cf2839a54e0b761d,l_16d7b0f3928ac54e,,,,,,,
l_b82e47c105d3f69a,leaf,2,,,,,,,do_not_target,,none,,,0.00,4101
l_0d59a3f6c8b71e42,leaf,4,,,,,,,do_not_target,,none,,,0.00,4207
l_f47c81b2e50a9d63,leaf,5,,,,,,,do_not_target,,none,,,0.00,4312
l_28a6d0c74f13b95e,leaf,6,,,,,,,do_not_target,,none,,,0.00,4415
l_93e15b8a2c60f7d4,leaf,7,,,,,,,target,A,capped_preassessment,250000,"in_app;email",0.86,5102
l_7a0c64e9b13d582f,leaf,7,,,,,,,target,A,capped_preassessment,250000,"outbound_call;sms",0.81,5103
l_cf2839a54e0b761d,leaf,7,,,,,,,target,B,capped_preassessment,120000,"sms;in_app",0.58,5204
l_16d7b0f3928ac54e,leaf,7,,,,,,,target,C,capped_preassessment,60000,"in_app",0.34,5307
